Track,Event Type,Midi Note,Note Name,Velocity,Duration (seconds),Time (seconds)
0,note_on,49,C#3,0.503937008,0.165972056,0
0,note_on,36,C2,0.503937008,0.332638556,0
2,note_on,72,C5,0.503937008,0.165972056,0
4,note_on,69,A4,0.503937008,0.165972056,0
6,note_on,64,E4,0.503937008,0.165972056,0
8,note_on,53,F3,0.503937008,0.165972056,0
0,note_on,42,F#2,0.503937008,0.165972056,0.1666665
0,note_on,42,F#2,0.503937008,0.165972056,0.333333
0,note_on,36,C2,0.503937008,0.332638556,0.333333
2,note_on,72,C5,0.503937008,0.165972056,0.333333
4,note_on,69,A4,0.503937008,0.165972056,0.333333
6,note_on,64,E4,0.503937008,0.165972056,0.333333
8,note_on,53,F3,0.503937008,0.165972056,0.333333
0,note_on,42,F#2,0.503937008,0.165972056,0.4999995
0,note_on,38,D2,0.503937008,0.165972056,0.666666
0,note_on,42,F#2,0.503937008,0.165972056,0.666666
2,note_on,72,C5,0.503937008,0.165972056,0.666666
4,note_on,69,A4,0.503937008,0.165972056,0.666666
6,note_on,64,E4,0.503937008,0.165972056,0.666666
8,note_on,53,F3,0.503937008,0.165972056,0.666666
0,note_on,42,F#2,0.503937008,0.165972056,0.8333325
0,note_on,42,F#2,0.503937008,0.165972056,0.999999
0,note_on,36,C2,0.503937008,0.165972056,0.999999
2,note_on,72,C5,0.503937008,0.082638806,0.999999
4,note_on,69,A4,0.503937008,0.082638806,0.999999
6,note_on,64,E4,0.503937008,0.082638806,0.999999
8,note_on,53,F3,0.503937008,0.082638806,0.999999
0,note_on,42,F#2,0.503937008,0.165972056,1.1666655
0,note_on,36,C2,0.503937008,0.165972056,1.1666655
2,note_on,72,C5,0.503937008,0.082638806,1.1666655
4,note_on,69,A4,0.503937008,0.082638806,1.1666655
6,note_on,64,E4,0.503937008,0.082638806,1.1666655
8,note_on,53,F3,0.503937008,0.082638806,1.1666655
0,note_on,42,F#2,0.503937008,0.165972056,1.333332
0,note_on,36,C2,0.503937008,0.332638556,1.333332
2,note_on,71,B4,0.503937008,0.165972056,1.333332
