Track,Event Type,Midi Note,Note Name,Velocity,Duration (seconds),Time (seconds)
0,note_on,67,G4,0.6299212598425197,0.2065971395833333,0.4166665
0,note_on,72,C5,0.6299212598425197,0.20659713958333337,0.62499975
0,note_on,76,E5,0.6299212598425197,0.20659713958333314,0.833333
0,note_on,67,G4,0.6299212598425197,0.20659713958333326,1.04166625
0,note_on,72,C5,0.6299212598425197,0.20659713958333326,1.2499995
0,note_on,76,E5,0.6299212598425197,0.20659713958333326,1.45833275
0,note_on,67,G4,0.6299212598425197,0.20659713958333326,2.0833325
0,note_on,72,C5,0.6299212598425197,0.20659713958333326,2.29166575
0,note_on,76,E5,0.6299212598425197,0.2065971395833337,2.499999
0,note_on,67,G4,0.6299212598425197,0.2065971395833337,2.7083322499999998
0,note_on,72,C5,0.6299212598425197,0.20659713958333326,2.9166655
0,note_on,76,E5,0.6299212598425197,0.20659713958333326,3.12499875
0,note_on,69,A4,0.6299212598425197,0.2065971395833337,3.7499985
0,note_on,74,D5,0.6299212598425197,0.2065971395833328,3.95833175
0,note_on,77,F5,0.6299212598425197,0.2065971395833337,4.166665
0,note_on,69,A4,0.6299212598425197,0.2065971395833337,4.37499825
0,note_on,74,D5,0.6299212598425197,0.2065971395833337,4.5833315
0,note_on,77,F5,0.6299212598425197,0.2065971395833337,4.79166475
0,note_on,69,A4,0.6299212598425197,0.2065971395833337,5.4166644999999995
0,note_on,74,D5,0.6299212598425197,0.2065971395833328,5.62499775
0,note_on,77,F5,0.6299212598425197,0.2065971395833328,5.833331
0,note_on,69,A4,0.6299212598425197,0.2065971395833328,6.04166425
0,note_on,74,D5,0.6299212598425197,0.2065971395833337,6.2499975
0,note_on,77,F5,0.6299212598425197,0.2065971395833337,6.45833075
0,note_on,67,G4,0.6299212598425197,0.2065971395833337,7.0833305
0,note_on,74,D5,0.6299212598425197,0.2065971395833337,7.29166375
0,note_on,77,F5,0.6299212598425197,0.2065971395833337,7.499997
0,note_on,67,G4,0.6299212598425197,0.2065971395833337,7.7083302499999995
0,note_on,74,D5,0.6299212598425197,0.2065971395833337,7.9166635
0,note_on,77,F5,0.6299212598425197,0.2065971395833337,8.12499675
0,note_on,67,G4,0.6299212598425197,0.2065971395833337,8.7499965
0,note_on,74,D5,0.6299212598425197,0.20659713958333192,8.95832975
0,note_on,77,F5,0.6299212598425197,0.2065971395833337,9.166663
0,note_on,67,G4,0.6299212598425197,0.20659713958333192,9.37499625
0,note_on,74,D5,0.6299212598425197,0.2065971395833337,9.5833295
0,note_on,77,F5,0.6299212598425197,0.2065971395833337,9.79166275
0,note_on,67,G4,0.6299212598425197,0.2065971395833337,10.4166625
0,note_on,72,C5,0.6299212598425197,0.2065971395833337,10.62499575
0,note_on,76,E5,0.6299212598425197,0.2065971395833337,10.833328999999999
0,note_on,67,G4,0.6299212598425197,0.2065971395833337,11.04166225
0,note_on,72,C5,0.6299212598425197,0.20659713958333192,11.2499955
0,note_on,76,E5,0.6299212598425197,0.2065971395833337,11.45832875
0,note_on,67,G4,0.6299212598425197,0.2065971395833337,12.0833285
0,note_on,72,C5,0.6299212598425197,0.2065971395833337,12.29166175
0,note_on,76,E5,0.6299212598425197,0.2065971395833337,12.499995
0,note_on,67,G4,0.6299212598425197,0.2065971395833337,12.70832825
0,note_on,72,C5,0.6299212598425197,0.2065971395833337,12.9166615
0,note_on,76,E5,0.6299212598425197,0.2065971395833337,13.124994749999999
0,note_on,69,A4,0.6299212598425197,0.20659713958333192,13.7499945
0,note_on,76,E5,0.6299212598425197,0.20659713958333192,13.95832775
0,note_on,81,A5,0.6299212598425197,0.20659713958333192,14.166661
0,note_on,69,A4,0.6299212598425197,0.20659713958333192,14.37499425
0,note_on,76,E5,0.6299212598425197,0.20659713958333192,14.5833275
0,note_on,81,A5,0.6299212598425197,0.20659713958333192,14.79166075
0,note_on,69,A4,0.6299212598425197,0.20659713958333192,15.416660499999999
0,note_on,76,E5,0.6299212598425197,0.20659713958333192,15.62499375
0,note_on,81,A5,0.6299212598425197,0.20659713958333015,15.833327
0,note_on,69,A4,0.6299212598425197,0.2065971395833337,16.04166025
0,note_on,76,E5,0.6299212598425197,0.2065971395833337,16.2499935
0,note_on,81,A5,0.6299212598425197,0.20659713958333015,16.45832675
0,note_on,66,F#4,0.6299212598425197,0.2065971395833337,17.0833265
0,note_on,69,A4,0.6299212598425197,0.20659713958333015,17.29165975
0,note_on,74,D5,0.6299212598425197,0.20659713958333015,17.499993
0,note_on,66,F#4,0.6299212598425197,0.2065971395833337,17.70832625
0,note_on,69,A4,0.6299212598425197,0.20659713958333015,17.9166595
0,note_on,74,D5,0.6299212598425197,0.20659713958333015,18.12499275
0,note_on,66,F#4,0.6299212598425197,0.20659713958333015,18.7499925
0,note_on,69,A4,0.6299212598425197,0.20659713958333015,18.95832575
0,note_on,74,D5,0.6299212598425197,0.2065971395833337,19.166659
0,note_on,66,F#4,0.6299212598425197,0.2065971395833337,19.37499225
0,note_on,69,A4,0.6299212598425197,0.20659713958333015,19.5833255
0,note_on,74,D5,0.6299212598425197,0.20659713958333015,19.79165875
0,note_on,67,G4,0.6299212598425197,0.20659713958333015,20.4166585
0,note_on,74,D5,0.6299212598425197,0.2065971395833337,20.62499175
0,note_on,79,G5,0.6299212598425197,0.2065971395833337,20.833325
0,note_on,67,G4,0.6299212598425197,0.20659713958333015,21.04165825
0,note_on,74,D5,0.6299212598425197,0.20659713958333015,21.2499915
0,note_on,79,G5,0.6299212598425197,0.2065971395833337,21.45832475
