0,E5,50
0,D3,50
50,E5,100
50,D3,100
150,E5,200
150,D3,200
250,C5,300
250,D3,300
300,E5,400
300,D3,400
400,G5,500
400,G3,500
600,G4,700
600,G2,700
800,C5,900
800,G3,900
950,G4,1050
950,E3,1050
1100,E4,1200
1100,C3,1200
1250,A4,1350
1250,F3,1350
1350,B4,1450
1350,G3,1450
1450,B-4,1500
1450,G-3,1500
1500,A4,1600
1500,F3,1600
1600,G4,1666
1600,E3,1666
1666,E5,1733
1666,C4,1733
1733,G5,1800
1733,E4,1800
1800,A5,1900
1800,F4,1900
1900,F5,1950
1900,D4,1950
1950,G5,2000
1950,E4,2000
2050,E5,2150
2050,C4,2150
2150,C5,2200
2150,A3,2200
2200,D5,2250
2200,B3,2250
2250,B4,2350
2250,G3,2350
2400,C5,2500
2400,G3,2500
2550,G4,2650
2550,E3,2650
2700,E4,2800
2700,C3,2800
2850,A4,2950
2850,F3,2950
2950,B4,3050
2950,G3,3050
3050,B-4,3100
3050,G-3,3100
3100,A4,3200
3100,F3,3200
3200,G4,3266
3200,E3,3266
3266,E5,3333
3266,C4,3333
3333,G5,3400
3333,E4,3400
3400,A5,3500
3400,F4,3500
3500,F5,3550
3500,D4,3550
3550,G5,3600
3550,E4,3600
3650,E5,3750
3650,C4,3750
3750,C5,3800
3750,A3,3800
3800,D5,3850
3800,B3,3850
3850,B4,3950
3850,G3,3950
4000,C3,4100
4100,G5,4150
4150,F#5,4200
4150,G3,4200
4200,F5,4250
4250,D#5,4350
4300,C4,4400
4350,E5,4400
4400,F3,4500
4450,G#4,4500
4500,A4,4550
4550,C5,4600
4550,C4,4600
4600,C4,4700
4650,A4,4700
4700,C5,4750
4700,F3,4800
4750,D5,4800
4800,C3,4900
4900,G5,4950
4950,F#5,5000
4950,G3,5000
5000,F5,5050
5050,D#5,5150
5100,G3,5150
5150,E5,5200
5150,C4,5200
5500,G3,5600
5600,C3,5700
5700,G5,5750
5750,F#5,5800
5750,G3,5800
5800,F5,5850
5850,D#5,5950
5900,C4,6000
5950,E5,6000
6000,F3,6100
6050,G#4,6100
6100,A4,6150
6150,C5,6200
6150,C4,6200
6200,C4,6300
6250,A4,6300
6300,C5,6350
6300,F3,6400
6350,D5,6400
6400,C3,6500
6500,E-5,6600
6500,A-3,6600
6650,D5,6750
6650,B-3,6750
6800,C5,6900
6800,C4,6900
6950,G3,7000
7000,G3,7100
7100,C3,7200
7200,C3,7300
7300,G5,7350
7350,F#5,7400
7350,G3,7400
7400,F5,7450
7450,D#5,7550
7500,C4,7600
7550,E5,7600
7600,F3,7700
7650,G#4,7700
7700,A4,7750
7750,C5,7800
7750,C4,7800
7800,C4,7900
7850,A4,7900
7900,C5,7950
7900,F3,8000
7950,D5,8000
8000,C3,8100
8100,G5,8150
8150,F#5,8200
8150,G3,8200
8200,F5,8250
8250,D#5,8350
8300,G3,8350
8350,E5,8400
8350,C4,8400
8700,G3,8800
8800,C3,8900
8900,G5,8950
8950,F#5,9000
8950,G3,9000
9000,F5,9050
9050,D#5,9150
9100,C4,9200
9150,E5,9200
9200,F3,9300
9250,G#4,9300
9300,A4,9350
9350,C5,9400
9350,C4,9400
9400,C4,9500
9450,A4,9500
9500,C5,9550
9500,F3,9600
9550,D5,9600
9600,C3,9700
9700,E-5,9800
9700,A-3,9800
9850,D5,9950
9850,B-3,9950
10000,C5,10100
10000,C4,10100
10150,G3,10200
10200,G3,10300
10300,C3,10400
10400,C5,10450
10400,A-2,10500
10450,C5,10500
10550,C5,10600
10550,E-3,10600
10650,C5,10700
10700,D5,10800
10700,A-3,10800
